folder,model,param,run,solver,policy,SolverTotalTime,TabulationTime,SavileRowClauseOut,SolverSolveTime,SavileRowTotalTime,SolverSatisfiable,SavileRowTimeOut,SolverNodes,SolverTimeOut,SolverSolutionsFound,SolverSetupTime,SolverMemOut,SATClauses,SATVars,SolverFailures
nlink-4,nlink-opt-4,opt.15,1,chuffed,notab,1.404,,0,,0.903,1,0,9593,0,,,,,,9290
nlink-4,nlink-opt-4,opt.12,3,chuffed,tab,0.169,0.107,0,,0.479,1,0,69,0,,,,,,31
nlink-4,nlink-opt-4,opt.15,2,kissat,tab,1.9900000000000002,0.086,0,,1.587,1,0,231188.0,0,,,0,158666,26681,
nlink-4,nlink-opt-4,opt.15,2,minion,tabnolim,0.3658,0.346,0,0.01863,1.642,1,0,330,0,7,0.024616,,,,
nlink-4,nlink-opt-4,opt.15,1,kissat,tab,2.41,0.042,0,,1.087,1,0,138383.0,0,,,0,158666,26681,
nlink-4,nlink-opt-4,opt.12,3,gecode,notab,0.289,,0,,0.206,1,0,44094,0,,,,,,22040
nlink-4,nlink-opt-4,opt.12,4,ortools,notab,0.368,,0,,0.601,1,0,,0,,,,,,1875
nlink-4,nlink-opt-4,opt.15,2,kissmdd,notab,0.24000000000000002,,0,,0.814,1,0,35188.0,0,,,0,11099,1526,
nlink-4,nlink-opt-4,opt.12,5,ortools,notab,0.225,,0,,0.153,1,0,,0,,,,,,1875
nlink-4,nlink-opt-4,opt.12,4,kissmdd,tabnolim,0.16999999999999998,0.3,0,,1.699,1,0,2012.0,0,,,0,319678,1098,
nlink-4,nlink-opt-4,opt.12,4,kissat,notab,0.07,,0,,0.593,1,0,11265.0,0,,,0,6138,989,
nlink-4,nlink-opt-4,opt.15,2,gecode,tab,0.292,0.062,0,,0.319,1,0,18445,0,,,,,,9211
nlink-4,nlink-opt-4,opt.12,4,chuffed,tabnolim,0.167,0.074,0,,1.034,1,0,69,0,,,,,,31
nlink-4,nlink-opt-4,opt.15,3,kissmdd,tabnolim,0.44999999999999996,0.304,0,,5.422,1,0,3804.0,0,,,0,985906,1785,
nlink-4,nlink-opt-4,opt.12,2,ortools,notab,1.79,,0,,0.282,1,0,,0,,,,,,1875
nlink-4,nlink-opt-4,opt.12,1,kissat,tab,0.41,0.332,0,,5.334,1,0,1082.0,0,,,0,642640,128556,
nlink-4,nlink-opt-4,opt.12,5,minion,tab,0.129028,0.074,0,0.002295,0.375,1,0,67,0,6,0.008926,,,,
nlink-4,nlink-opt-4,opt.15,1,ortools,tab,18.306,0.09,0,,2.018,1,0,,0,,,,,,94
nlink-4,nlink-opt-4,opt.12,3,minion,tabnolim,0.163718,0.128,0,0.00267,0.615,1,0,67,0,6,0.010949,,,,
nlink-4,nlink-opt-4,opt.15,2,kissmdd,tabnolim,0.44999999999999996,0.15,0,,1.772,1,0,3962.0,0,,,0,985906,1785,
nlink-4,nlink-opt-4,opt.12,1,minion,notab,0.149352,,0,0.148733,0.146,1,0,34079,0,6,0.000311,,,,
nlink-4,nlink-opt-4,opt.12,3,minion,tab,0.157941,0.066,0,0.002931,0.467,1,0,67,0,6,0.009726,,,,
nlink-4,nlink-opt-4,opt.12,2,minion,notab,0.175887,,0,0.175511,0.273,1,0,34079,0,6,0.000153,,,,
nlink-4,nlink-opt-4,opt.12,2,ortools,tabnolim,2.228,0.031,0,,0.615,1,0,,0,,,,,,32
nlink-4,nlink-opt-4,opt.12,4,kissat,tab,0.41,0.807,0,,5.143,1,0,1082.0,0,,,0,642640,128556,
nlink-4,nlink-opt-4,opt.15,5,chuffed,notab,1.282,,0,,0.346,1,0,9593,0,,,,,,9290
nlink-4,nlink-opt-4,opt.12,4,ortools,tabnolim,2.529,0.741,0,,2.486,1,0,,0,,,,,,32
nlink-4,nlink-opt-4,opt.12,5,gecode,notab,0.306,,0,,0.285,1,0,44094,0,,,,,,22040
nlink-4,nlink-opt-4,opt.12,4,kissmdd,notab,0.08,,0,,0.699,1,0,11265.0,0,,,0,6138,989,
nlink-4,nlink-opt-4,opt.15,2,kissat,notab,0.22000000000000003,,0,,0.751,1,0,35188.0,0,,,0,11099,1526,
nlink-4,nlink-opt-4,opt.15,5,kissmdd,notab,0.24000000000000002,,0,,0.55,1,0,40951.0,0,,,0,11099,1526,
nlink-4,nlink-opt-4,opt.15,5,ortools,notab,0.585,,0,,0.221,1,0,,0,,,,,,3513
